instance,init,BK,001,001_min,002,002_min,003,003_min,004,004_min,005,005_min,006,006_min,66,66_min
a1_1,49528750,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,0.0,0
a1_2,1061649570,777532896,786848330.0,786848330,782019327.0,782019327,784799682.0,784799682,778451060.0,778451060,779316203.0,779316203,793878740.0,793878740,0.0,0
a1_3,583662270,583005717,583007019.0,583007019,583006317.0,583006317,583006313.0,583006313,583006317.0,583006317,583006418.0,583006418,583007120.0,583007120,0.0,0
a1_4,632499600,247433844,272570075.0,272567341,268435094.6,268306292,271264768.0,271264768,264538448.4,264537159,263332697.2,263332219,300738905.0,300738905,0.0,0
a1_5,782189690,727578309,727578617.0,727578617,727578619.0,727578619,727578815.0,727578815,727578424.0,727578424,727578413.0,727578413,727579615.0,727579615,0.0,0
a2_1,391189190,167,266.0,266,278.0,278,284.0,284,247.0,247,241.0,241,322.6,322,1030020.0,1030020
a2_2,1876768120,720671548,994181156.0,994164572,809028721.0,809026195,949481556.0,949457214,813989611.0,813989611,809673424.2,801663679,990398250.0,990398250,0.0,0
a2_3,2272487840,1190713414,1365723871.8,1365699842,1327350354.0,1327350354,1457295467.0,1457295467,1265814075.0,1265813397,1263900343.8,1263868736,1450881478.2,1450839718,0.0,0
a2_4,3223516130,1680609218,1847482229.0,1847482229,1811464757.0,1811464757,1909926228.0,1909926228,1734756360.0,1734756360,1719062254.0,1719062254,1921676997.0,1921676997,0.0,0
a2_5,787355300,309714522,506021485.0,506021485,446822836.0,446822836,547369909.0,547369909,421409219.0,421409219,427974679.0,427591180,519627972.0,519627972,0.0,0
b_1,7644173180,3307124603,3827596943.0,3827499845,3707354817.8,3707303154,3973082661.8,3972971305,3577445440.6,3577250832,3548065375.0,3548065369,3759834328.8,3759808976,0.0,0
b_2,5181493830,1015517386,1170258320.0,1170258320,1175603151.8,1175566348,1137221695.6,1137165681,1134683739.2,1134662374,1142029218.0,1141611472,1231820980.0,1231820980,0.0,0
b_3,6336834660,156519816,224530877.6,224529253,181734527.2,181729708,200053217.0,200053217,185560263.0,185560263,178247129.4,178224082,246433624.8,246426339,0.0,0
b_4,9209576380,4677817475,4678030107.0,4678030027,4678080255.6,4678080175,4678039071.6,4678039051,4678031711.0,4678031711,4678004210.8,4678004210,4678186924.0,4678186924,0.0,0
b_5,12426813010,923312207,962542523.4,962531169,960490365.2,960455629,977663862.0,977490207,956838106.6,956789826,959976134.4,959971688,967223524.6,966910287,0.0,0
b_6,12749861240,9525421332,9525915842.4,9525915761,9525959129.6,9525959069,9525939944.8,9525939864,9525982203.0,9525982123,9525982203.0,9525982123,9526177457.0,9526177457,0.0,0
b_7,37946901700,14835031813,0.0,0,15315372062.2,15315310020,15383347252.4,15382883034,15203062285.4,15203008194,0.0,0,15271426486.0,15271426486,0.0,0
b_8,14068207250,1214086286,1245300561.0,1245300561,1228924210.8,1228924189,1285560309.8,1285464272,1223111986.6,1223111905,1223112006.8,1223112006,1217997139.0,1217997139,0.0,0
b_9,23234641520,15885524407,15891330512.6,15891330277,15888720543.4,15888720523,15888326213.0,15888326213,15889925422.6,15889925281,15889839136.6,15889839015,15909603207.0,15909603207,0.0,0
b_10,42220868760,18048499616,0.0,0,18534878020.8,18534877600,18530825569.2,18530825025,18357210452.0,18357130587,18348325681.4,18348325358,18458005111.6,18458001545,0.0,0
x_1,7422426760,3030246091,3830513451.6,3830446436,3284126306.0,3284045008,3505718925.0,3505709541,3249951967.0,3249886764,3255412309.8,3255213741,3491148765.2,3491147546,0.0,0
x_2,5103634830,1010050981,1136946983.0,1136871843,1148397281.0,1148385995,1165830815.0,1165782869,1104671168.0,1104614865,1101195974.0,1101187402,1142504426.0,1142504426,0.0,0
x_3,6119933380,259656,64728998.0,64721466,15271888.8,15268434,20099873.2,20037529,12896869.0,12896645,12897001.0,12896845,15733219.8,15731185,0.0,0
x_4,9207188610,4721727496,4722254167.6,4722253707,4723916368.4,4723913657,4724959085.0,4724959085,4724874843.0,4724874187,4725666993.0,4725666993,4727982107.0,4727982107,0.0,0
x_5,12369526590,144768,16494622.4,16471045,17860823.8,17829082,11397623.2,11393147,13743777.8,13735638,13754414.6,13732978,19329265.2,19323336,0.0,0
x_6,12753566360,9546958474,9546994178.6,9546994118,9547017774.0,9547017694,9547011526.0,9547011326,9547000145.0,9547000125,9547000165.2,9547000125,9547187729.0,9547187729,0.0,0
x_7,37763791230,14253133805,16205939958.4,16205727722,0.0,0,14950956155.8,14950953828,14796573114.2,14796228540,14813579696.0,14813576732,14942367336.0,14942367336,0.0,0
x_8,11611565600,83711,686984.8,686149,282303.0,282181,304143.2,304141,133758.6,133596,134121.4,133699,148953.2,148873,0.0,0
x_9,23146106380,16125675266,0.0,0,0.0,0,16127542861.0,16127542861,0.0,0,16126918935.0,16126918935,16137892824.0,16137892824,0.0,0
x_10,42201640770,17815045320,19540988893.6,19540988890,18379675284.2,18379644404,18342797304.8,18342574981,18165447364.0,18165447063,18177417691.4,18177417171,18256975726.0,18256975726,0.0,0
