instance,init,BK,001,001_min,002,002_min,003,003_min,004,004_min,005,005_min,006,006_min,007,007_min,008,008_min,009,009_min,010,010_min,011,011_min,012,012_min,013,013_min,014,014_min,015,015_min,016,016_min,017,017_min,018,018_min,019,019_min,020,020_min,021,021_min,022,022_min,023,023_min,024,024_min,025,025_min,66,66_min
a1_1,49528750,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306662.6,44306501,44307959.4,44307208,44309482.4,44309238,44310155.0,44309844,44308512.8,44307935,44308860.2,44307824,44308551.2,44307420,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,0.0,0
a1_2,1061649570,777532896,787692421.2,779341088,785805142.0,780408335,782318405.6,779082244,784136124.4,778765919,781453954.8,777770415,797780723.2,781458061,792153813.2,788899861,785270875.8,777907021,778399355.6,777690612,779533369.4,777714886,778192661.4,777543086,792250126.4,788041277,785203656.4,780091243,785583794.6,780991241,784315079.6,779876891,789011448.0,783880184,793971459.8,786421498,799868561.4,790187242,799263871.6,790593148,797780703.2,781458061,787014023.8,784681691,785916494.0,780634430,785753558.0,782415221,789808266.2,784442776,790668916.0,781522222,0.0,0
a1_3,583662270,583005717,583006764.4,583006416,583006665.0,583006219,583007224.8,583007026,583007052.2,583006419,583006889.8,583006318,583076433.4,583007120,583018460.0,583005817,583006462.8,583006417,583007462.6,583006865,583009430.0,583007953,583011372.6,583008758,583006849.2,583006225,583008963.8,583008070,583352221.4,583236160,583439940.4,583245553,583532796.0,583483422,583489071.4,583303849,583504515.8,583406390,583643982.6,583570833,583076453.4,583007120,583007648.6,583007220,583006407.4,583006023,583006300.8,583006018,583006237.6,583006117,583006450.2,583006036,0.0,0
a1_4,632499600,247433844,273289358.2,268500574,269374339.6,262117340,275160264.2,270444051,264094117.0,254297917,261516554.6,257093068,293778873.2,280893125,273925147.8,264049425,259607204.6,256064172,256603480.2,254847203,256585472.6,252656014,256884010.0,253051835,283113688.6,272338473,283562573.0,274638924,290219932.6,279883477,318010524.4,299388050,337181127.0,328454029,327660455.4,320403527,323824024.4,311104752,326878732.2,313088244,293782323.4,280893125,282047507.6,277597442,264521868.4,256504523,271381323.4,264316017,268740819.0,262568531,266961715.4,259994940,0.0,0
a1_5,782189690,727578309,727578714.6,727578511,727578614.0,727578418,727578514.4,727578414,727578415.8,727578319,727578413.6,727578315,727579578.0,727579015,727578472.6,727578312,727578452.4,727578411,727578454.8,727578412,727578400.0,727578321,727578548.8,727578426,727578616.4,727578414,727579115.6,727578629,727580534.0,727579796,727581512.4,727580384,727584523.6,727583925,727586946.0,727585577,727587571.2,727584350,727596669.8,727594120,727579578.0,727579015,727579095.6,727578713,727578394.0,727578313,727578375.2,727578316,727578473.8,727578318,727578360.2,727578318,0.0,0
a2_1,391189190,167,206190.0,239,269.2,240,206243.6,291,230.8,213,234.6,213,309.8,296,1029950.8,1029930,223.0,216,252.0,244,304.0,292,335.6,321,1029978.2,1029968,294.8,278,456.0,404,606.0,575,701.0,668,640.2,622,631.8,575,824573.4,788,309.6,296,282.2,263,234.0,223,232.0,214,235.8,216,242.2,224,1030020.0,1030020
a2_2,1876768120,720671548,1025394073.4,969863396,863956197.0,847818726,973324191.0,936680955,826784844.4,809963473,852371636.2,840024764,1043036876.2,1019727737,958356538.6,929567807,894461261.8,855002493,820283885.0,805294380,830068220.8,801014243,839153193.4,789772397,1014495994.8,969794710,893894835.2,865980373,874478224.8,846355426,873514759.0,849319185,905436804.6,862607095,903068317.2,864094389,916138594.8,873159392,921719745.4,888082191,1042700976.8,1019727737,1062860047.6,1041367608,1039472909.0,1012455364,1076155939.8,1035072538,1026306618.2,981511698,1041625943.2,973062057,0.0,0
a2_3,2272487840,1190713414,1438514133.0,1398148709,1328657775.6,1319909357,1453871379.2,1414088878,1322827135.0,1299277206,1330010147.8,1288860873,1511492279.4,1481576787,1402373216.6,1369394433,1340769480.8,1279680197,1319000192.8,1304789763,1280092993.6,1253203531,1277715081.6,1262517204,1453346735.0,1403505122,1375290781.6,1346483666,1337507465.8,1294315396,1353842411.8,1319185335,1345524666.0,1299435186,1397028245.4,1375797939,1374125425.0,1347609235,1417380213.2,1396124014,1511505700.2,1481602826,1524594515.8,1499508422,1490412848.4,1472361979,1517656244.6,1483836111,1490978615.0,1455009252,1509142782.8,1491850655,0.0,0
a2_4,3223516130,1680609218,1839273544.4,1815179219,1749681730.0,1729326643,1884337843.2,1834866653,1712592900.0,1700621383,1712986831.4,1699005106,1911173473.0,1891315028,1759877206.8,1719399119,1693472645.4,1685369367,1690250037.2,1686108844,1697775542.2,1690257089,1721625630.6,1705466843,1871268776.4,1763271457,1877549853.8,1840963267,1975777591.8,1924438049,2035908172.0,1969558281,2062313607.6,2014677460,2005492799.2,1912975535,2046993548.2,1989370172,2100975791.0,2056949726,1911173663.0,1891315028,1823082117.8,1800111858,1752721229.2,1733221897,1763751677.8,1740644580,1762378554.8,1725238498,1746332455.2,1720396711,0.0,0
a2_5,787355300,309714522,452579099.6,423532565,419650168.4,408875046,499155762.2,478033158,394509655.0,385482448,402966452.0,391410545,494746521.4,473237278,401721947.6,395209240,376581909.2,363681725,378759369.6,372945427,388725049.0,372985609,433345671.4,409775130,461814679.6,445401415,476724046.2,455289392,551207561.4,522134709,680878368.0,653101665,741041203.0,720389982,702656574.0,660197471,686299642.6,658731076,731680793.8,704465227,496333925.2,472972880,487657308.8,469848622,440209172.6,429403781,468071123.4,454525406,457319201.4,439217721,452057951.0,435949141,0.0,0
