instance,init,BK,001_avg,001_min,002_avg,002_min,003_avg,003_min,004_avg,004_min,005_avg,005_min,006_avg,006_min,007_avg,007_min,008_avg,008_min,009_avg,009_min,010_avg,010_min,011_avg,011_min,012_avg,012_min,013_avg,013_min,014_avg,014_min,015_avg,015_min,016_avg,016_min,017_avg,017_min,018_avg,018_min,019_avg,019_min,020_avg,020_min,021_avg,021_min,022_avg,022_min,023_avg,023_min,024_avg,024_min,025_avg,025_min,026_avg,026_min,027_avg,027_min,028_avg,028_min,029_avg,029_min,030_avg,030_min,031_avg,031_min,032_avg,032_min,033_avg,033_min,034_avg,034_min,035_avg,035_min,036_avg,036_min,037_avg,037_min,038_avg,038_min,039_avg,039_min,040_avg,040_min,041_avg,041_min,042_avg,042_min,043_avg,043_min,044_avg,044_min,045_avg,045_min,046_avg,046_min,047_avg,047_min,048_avg,048_min,049_avg,049_min,050_avg,050_min,051_avg,051_min,052_avg,052_min,053_avg,053_min,054_avg,054_min,055_avg,055_min,056_avg,056_min,057_avg,057_min,058_avg,058_min,059_avg,059_min,060_avg,060_min,061_avg,061_min,062_avg,062_min,063_avg,063_min,064_avg,064_min,065_avg,065_min,066_avg,066_min,067_avg,067_min,068_avg,068_min,069_avg,069_min,070_avg,070_min,071_avg,071_min,072_avg,072_min,073_avg,073_min,074_avg,074_min,075_avg,075_min,076_avg,076_min,077_avg,077_min,078_avg,078_min
a1_1,49528750,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306662.6,44306501,44307959.4,44307208,44309482.4,44309238,44310155.0,44309844,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306521.2,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306501.0,44306501,44306622.2,44306501,44306501.0,44306501,44306541.4,44306501,44306501.0,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306501.0,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501,44306541.4,44306501
a1_2,1061649570,777532896,787692421.2,779341088,785805142.0,780408335,782318405.6,779082244,784136124.4,778765919,781453954.8,777770415,797780723.2,781458061,792153813.2,788899861,785270875.8,777907021,778399355.6,777690612,779533369.4,777714886,778192661.4,777543086,792250126.4,788041277,785203656.4,780091243,785583794.6,780991241,784315079.6,779876891,789011448.0,783880184,809114392.6,800575712,803634831.8,794952874,805042153.4,799747740,797780703.2,781458061,787014023.8,784681691,785916494.0,780634430,785753558.0,782415221,789808266.2,784442776,790668916.0,781522222,779225634.0,777536093,781799038.6,777908549,783871965.8,777916532,789298390.2,782796353,779225593.8,777535892,780209664.2,777861319,778183277.8,777632855,779215226.8,778501194,781453757.8,777538033,780685061.4,777539946,790120998.2,783008522,783271373.0,778655220,781133743.4,777536489,780089504.4,777536639,779613168.4,777909371,782173824.6,777538033,778624294.0,777539052,785074076.6,779975706,778712842.4,777944477,780520554.8,777846603,782676389.0,778280506,785297823.4,777536098,784535629.6,778791059,779803194.4,777694425,781402529.4,777935135,780639942.2,778171601,779710291.6,777751190,779664390.2,778063802,779926325.4,778063802,779712919.8,777913294,783713049.2,777908310,780296826.8,777907006,778260506.8,777537331,779613472.2,777539355,778204392.0,777912497,785729610.8,779329934,777838785.0,777588109,778373292.6,777540748,778148055.2,777536738,779436734.0,777535511,779248599.6,777909838,778110363.8,777536833,778329820.2,778133081,778700193.6,777908353,778022666.2,777536749,779950589.4,778131469,778050676.4,777550279,779950508.6,778131469,779950529.2,778131469,779786008.4,778131267,778050676.4,777550279,779950591.2,778131469,777914984.2,777691498
a1_3,583662270,583005717,583006764.4,583006416,583006665.0,583006219,583007224.8,583007026,583007052.2,583006419,583006889.8,583006318,583076433.4,583007120,583018460.0,583005817,583006462.8,583006417,583007462.6,583006865,583009430.0,583007953,583011372.6,583008758,583006849.2,583006225,583008963.8,583008070,583352221.4,583236160,583439940.4,583245553,583532796.0,583483422,583205659.8,583006217,583237305.4,583006616,583348261.4,583235247,583076453.4,583007120,583007648.6,583007220,583006407.4,583006023,583006300.8,583006018,583006237.6,583006117,583006450.2,583006036,583006441.6,583006016,583006933.8,583006332,583006992.4,583006319,583006745.0,583006321,583006441.6,583006016,583006361.4,583006017,583012048.0,583009071,583006797.4,583006021,583008196.2,583007831,583009196.8,583007943,583019550.2,583005915,583006298.0,583006215,583006771.8,583006454,583007985.4,583007545,583010445.8,583008769,583008196.2,583007831,583020379.6,583007863,583007674.6,583006730,583008996.0,583007442,583010107.0,583008847,583006346.2,583006217,583006691.4,583006420,583007849.8,583006429,583008095.0,583007229,583011607.8,583009567,583014060.6,583010895,583008094.6,583007229,583008054.8,583007028,583008055.0,583007028,583007990.6,583007229,583006544.0,583006418,583006732.6,583006220,583019992.0,583007257,583023620.0,583009571,583014676.4,583011700,583006443.2,583006319,583011674.2,583008039,583008480.4,583007943,583008112.2,583007035,583007535.0,583007035,583007857.0,583006734,583007933.0,583007035,583008093.2,583007035,583007654.2,583006631,583007971.4,583006934,583006659.2,583006219,583008355.2,583007336,583006640.0,583006017,583006659.2,583006219,583006559.2,583006017,583008355.2,583007336,583006680.4,583006219,583008278.4,583007336
a1_4,632499600,247433844,273289358.2,268500574,269374339.6,262117340,275160264.2,270444051,264094117.0,254297917,261516554.6,257093068,293778873.2,280893125,273925147.8,264049425,259607204.6,256064172,256603480.2,254847203,256585472.6,252656014,256884010.0,253051835,283113688.6,272338473,283562573.0,274638924,290219932.6,279883477,318010524.4,299388050,337181127.0,328454029,296464824.2,290308983,301741979.2,294865757,294621074.2,289348504,293782323.4,280893125,282047507.6,277597442,264521868.4,256504523,271381323.4,264316017,268740819.0,262568531,266961715.4,259994940,258740585.2,255534301,260215817.0,257257366,262453382.6,258130828,262689559.6,259907828,258705138.4,255534301,265029865.2,261228239,255933147.2,253080918,259406699.0,256044173,255212944.4,251757884,257018056.0,255040749,272439808.0,270821997,262518064.2,256809824,256492265.0,252104979,256483810.2,253481315,253739000.2,252597789,255211727.4,251757884,256104419.8,252839689,276677188.2,265315686,265707492.2,261950536,268046513.4,259750584,260862937.0,257067868,264027045.2,260145990,258459397.6,255922952,256991556.4,253340699,257372889.8,253734588,256477900.2,253591216,255472833.8,253051768,254132299.0,251393716,256277719.2,251208288,257024635.0,254993899,264226101.6,261399451,260180139.2,254595362,256515297.0,251683028,256462657.8,254379866,255221444.0,251369570,274196586.8,270036393,271195350.2,267416260,269729920.8,267398156,268447436.4,267022201,270088495.8,267992762,269477446.6,268296137,269381696.2,266919987,269821324.6,267441956,269011622.4,266884673,269672580.6,267779358,269856000.8,267096823,269864053.8,267096823,270319985.8,267939334,270422855.2,267986846,270040097.2,267044235,269887301.4,267099821,269350185.4,267407449,270449584.8,266604038
a1_5,782189690,727578309,727578714.6,727578511,727578614.0,727578418,727578514.4,727578414,727578415.8,727578319,727578413.6,727578315,727579578.0,727579015,727578472.6,727578312,727578452.4,727578411,727578454.8,727578412,727578400.0,727578321,727578548.8,727578426,727578616.4,727578414,727579115.6,727578629,727580534.0,727579796,727581512.4,727580384,727584523.6,727583925,727579715.6,727579213,727579256.6,727578814,727579840.2,727579520,727579578.0,727579015,727579095.6,727578713,727578394.0,727578313,727578375.2,727578316,727578473.8,727578318,727578360.2,727578318,727578356.4,727578317,727578319.0,727578314,727578382.2,727578322,727578379.8,727578315,727578356.4,727578317,727578456.0,727578412,727578510.2,727578323,727578335.0,727578313,727578440.0,727578322,727578444.2,727578322,727578372.0,727578312,727578392.2,727578311,727578335.6,727578312,727578420.2,727578417,727578489.2,727578424,727578440.4,727578322,727578481.0,727578415,727578779.2,727578615,727578583.0,727578518,727578786.6,727578435,727578374.6,727578313,727578474.2,727578412,727578416.4,727578326,727578521.4,727578327,727578528.4,727578423,727578532.8,727578528,727578580.0,727578419,727578580.4,727578421,727578580.4,727578421,727578541.0,727578418,727578453.4,727578411,727578416.2,727578315,727578518.4,727578417,727578502.8,727578417,727578469.4,727578338,727578375.2,727578316,727578434.8,727578412,727578373.4,727578311,727578335.0,727578313,727578396.6,727578313,727578318.2,727578314,727578376.4,727578311,727578337.4,727578311,727578356.0,727578311,727578395.8,727578316,727578336.2,727578314,727578335.4,727578312,727578336.4,727578314,727578336.2,727578314,727578335.6,727578314,727578335.4,727578312,727578336.4,727578314,727578355.0,727578313
a2_1,391189190,167,206190.0,239,269.2,240,206243.6,291,230.8,213,234.6,213,309.8,296,1029950.8,1029930,223.0,216,252.0,244,304.0,292,335.6,321,1029978.2,1029968,294.8,278,456.0,404,606.0,575,701.0,668,412231.4,332,206276.2,320,1082109.4,1030031,309.6,296,282.2,263,234.0,223,232.0,214,235.8,216,242.2,224,222.2,203,229.2,210,260.6,232,412131.2,245,222.2,203,218.0,201,310.0,302,220.8,211,223.6,205,255.0,243,412111.2,226,198.0,190,203.8,193,226.0,205,262.4,240,222.8,200,233.6,220,365.2,333,256.4,230,206185.0,243,240.0,211,235.4,218,252.2,237,294.6,280,346.2,326,407.4,371,290.8,280,290.8,280,290.8,280,291.8,276,216.2,207,220.0,211,228.8,220,251.2,237,263.0,251,221.2,206,247.2,225,209.2,200,210.4,195,201.2,187,206.0,202,207.0,201,209.8,200,210.2,198,210.6,197,213.0,209,208.0,201,206.8,198,209.6,200,213.2,209,211.4,201,208.0,201,215.0,204
a2_2,1876768120,720671548,1025394073.4,969863396,863956197.0,847818726,973324191.0,936680955,826784844.4,809963473,852371636.2,840024764,1043036876.2,1019727737,958356538.6,929567807,894461261.8,855002493,820283885.0,805294380,830068220.8,801014243,839153193.4,789772397,1014495994.8,969794710,893894835.2,865980373,874478224.8,846355426,873514759.0,849319185,905436804.6,862607095,989260582.8,937900523,1101636779.4,1061094112,991944473.2,982548986,1042700976.8,1019727737,1062860047.6,1041367608,1039472909.0,1012455364,1076155939.8,1035072538,1026306618.2,981511698,1041625943.2,973062057,890215195.8,854183887,899157640.0,867266112,898315150.6,863940375,936363831.6,919683631,889949783.2,854154667,946600867.4,920797688,826619240.4,799677114,863230798.0,832513264,825683837.4,801258391,829790664.6,806503932,994964356.2,955711246,891220835.8,858920532,848864532.6,805816804,846180930.8,800362821,827143216.0,803238969,825613073.6,801258391,852746784.4,842006998,966969918.8,962106480,861019452.6,805235307,1031333666.6,1006791733,844794514.0,825572612,848269997.0,827697817,835525901.0,821511652,831626277.2,793213684,822092219.6,777340475,815910858.8,789900742,805644799.6,789310875,808705290.6,792353169,808278535.6,792353169,839759571.6,818676424,957148691.0,925727585,866236996.4,823359076,824721128.6,790856805,817848362.0,801879503,832688419.8,819576589,995626322.8,914325174,844501570.4,828390405,849062823.8,812716010,859736261.0,799525972,868866796.6,798813368,849899849.2,799525972,852767102.6,799525972,857893103.8,799525972,863629720.4,799525972,861018054.4,799525972,871067709.2,798202251,850216572.2,800165843,871008918.0,798202251,870538287.8,798211861,871028184.0,798202251,850765539.6,800165843,871011445.8,798202251,855283879.6,804427069
a2_3,2272487840,1190713414,1438514133.0,1398148709,1328657775.6,1319909357,1453871379.2,1414088878,1322827135.0,1299277206,1330010147.8,1288860873,1511492279.4,1481576787,1402373216.6,1369394433,1340769480.8,1279680197,1319000192.8,1304789763,1280092993.6,1253203531,1277715081.6,1262517204,1453346735.0,1403505122,1375290781.6,1346483666,1337507465.8,1294315396,1353842411.8,1319185335,1345524666.0,1299435186,1517271069.2,1491930532,1572139526.4,1546420322,1486519146.4,1448561316,1511505700.2,1481602826,1524594515.8,1499508422,1490412848.4,1472361979,1517656244.6,1483836111,1490978615.0,1455009252,1509142782.8,1491850655,1364920415.0,1349423015,1378536666.0,1352559285,1400166817.2,1365656911,1395435527.8,1370329975,1365181903.0,1348209312,1419992737.0,1370899166,1313042304.8,1291429220,1339702187.6,1325343687,1299659475.6,1278109890,1313720282.8,1269777060,1469072858.6,1439306436,1356442462.2,1340306402,1335134286.8,1291830734,1301110039.4,1261358968,1288596949.8,1270833668,1300012461.2,1278420620,1319761194.6,1309101680,1452236029.6,1430028338,1340134161.6,1319463292,1441864535.6,1383527846,1313538685.8,1279504084,1323105248.8,1315620138,1318837785.2,1263483647,1296920447.6,1266993900,1284403288.8,1263390468,1300235181.0,1263921330,1298286469.6,1249627078,1294289048.4,1246518971,1290366840.8,1264837344,1319480250.6,1289212561,1422419172.0,1400670454,1352703953.8,1332053348,1332892004.0,1295833372,1311546906.6,1275410153,1314724333.8,1292612337,1494478785.6,1441701192,1334195191.2,1305094363,1327025937.8,1307193306,1328983680.8,1291551407,1345331803.8,1324176101,1341999012.0,1307257060,1342668909.2,1323769674,1348710624.2,1334193295,1347434231.0,1322116915,1349320985.6,1340298432,1348594306.8,1323041981,1344102728.0,1329110357,1347115673.2,1315420515,1347113623.0,1315410264,1348572134.6,1323041981,1344454626.4,1329110357,1347079341.0,1315410264,1327162039.0,1309451244
a2_4,3223516130,1680609218,1839273544.4,1815179219,1749681730.0,1729326643,1884337843.2,1834866653,1712592900.0,1700621383,1712986831.4,1699005106,1911173473.0,1891315028,1759877206.8,1719399119,1693472645.4,1685369367,1690250037.2,1686108844,1697775542.2,1690257089,1721625630.6,1705466843,1871268776.4,1763271457,1877549853.8,1840963267,1975777591.8,1924438049,2035908172.0,1969558281,2062313607.6,2014677460,1937710172.6,1883248424,1945584478.6,1887183424,1924729341.6,1849301150,1911173663.0,1891315028,1823082117.8,1800111858,1752721229.2,1733221897,1763751677.8,1740644580,1762378554.8,1725238498,1746332455.2,1720396711,1692856382.8,1686545975,1697920427.4,1685783006,1711434221.2,1694196604,1721999682.0,1706792225,1692708839.2,1686543305,1703166463.4,1694158477,1726693660.8,1710267308,1688370234.0,1685265393,1689060372.8,1684966731,1701348243.6,1691630219,1740759387.2,1727583433,1688581379.0,1686904348,1685411132.4,1683194445,1687437207.4,1685182027,1703100679.8,1691781667,1689061555.0,1684948872,1686334084.0,1683800193,1815309915.6,1746075286,1693039885.2,1685790178,1743414627.6,1695315477,1720478282.6,1706970939,1705856265.0,1691829900,1691483593.4,1690382527,1695064556.4,1691342527,1736779685.0,1720406652,1784472153.4,1744316769,1696694101.8,1692591197,1696456670.4,1689048421,1694998399.4,1691171428,1697161866.6,1690533153,1713819997.6,1699811718,1691470996.8,1684454919,1687828990.6,1684472654,1700233830.0,1692786039,1735516756.4,1718727790,1786704494.2,1758848204,1688664794.0,1684004598,1685882765.6,1684510363,1687655871.6,1685053833,1687419334.6,1685521728,1686517708.4,1684786870,1687480450.8,1685055467,1686155141.8,1684976248,1686940704.2,1684754270,1687224727.4,1684897302,1687024411.0,1684450502,1687383056.6,1685499169,1687547291.6,1685246098,1687556953.8,1685189028,1687535624.0,1685249358,1687361562.4,1685499169,1687575243.6,1685212188,1687542359.0,1685431764
a2_5,787355300,309714522,452579099.6,423532565,419650168.4,408875046,499155762.2,478033158,394509655.0,385482448,402966452.0,391410545,494746521.4,473237278,401721947.6,395209240,376581909.2,363681725,378759369.6,372945427,388725049.0,372985609,433345671.4,409775130,461814679.6,445401415,476724046.2,455289392,551207561.4,522134709,680878368.0,653101665,741041203.0,720389982,546808647.8,527439980,565467307.0,532567417,583767830.8,555901996,496333925.2,472972880,487657308.8,469848622,440209172.6,429403781,468071123.4,454525406,457319201.4,439217721,452057951.0,435949141,383111845.2,374262503,395615684.6,387410491,426778046.8,400408431,433941663.8,419044226,383060453.0,374262503,406271320.4,395904566,434752025.0,426223031,371548226.0,359618482,379570855.4,370732261,390955250.4,367536216,431480248.6,421290228,377736691.0,366209870,369206672.0,356082719,368967374.2,360752782,396609264.8,376039301,379427298.0,370732261,384161813.2,371155152,507080403.0,472799592,390664276.6,375817023,423646453.2,402338900,394453707.4,385845265,385803730.0,383188838,379917063.0,375049605,396917028.2,380129097,436814126.0,409560758,502601527.4,485343875,390013237.6,377014655,396852153.8,379832965,391850724.6,378390263,389489472.0,379658870,410917619.0,398348414,376606381.6,362921963,376567875.4,369690904,400245336.2,390340612,439752044.0,429290182,450345984.8,440354097,392381348.8,371209931,377969942.4,371872832,375601283.2,367711071,380470184.8,376860765,379161742.4,373755817,383526367.0,378401932,382350484.0,371874538,383176198.4,373854992,381772874.0,375773521,381873820.0,376860765,375447435.6,369615728,382581128.8,376905875,382707580.2,376860765,382607128.2,376860765,375178355.6,369623288,382655404.0,376492015,377429731.0,368628459
